time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
4,306036;17,3395;-14,7247;-20,7975;30,822
4,310788;17,7021;-13,9595;-20,189;30,263
4,31402;17,5777;-13,2192;-19,6956;29,524
4,318659;17,0335;-12,6815;-19,4121;28,771
4,322842;16,4087;-12,1746;-19,2945;28,102
4,327948;16,0082;-11,6466;-19,227;27,597
4,332503;16,1653;-11,0124;-19,0891;27,331
4,336964;16,8555;-10,278;-18,9754;27,383
4,341745;17,6009;-9,3729;-18,885;27,464
4,346448;18,0005;-8,4695;-19,114;27,588
4,351025;17,9257;-7,476;-19,7683;27,713
4,355905;17,6349;-6,6057;-20,5956;27,907
4,360752;17,5733;-6,0709;-21,6648;28,549
4,365458;17,6943;-5,9068;-22,7154;29,393
4,370131;17,6795;-5,9623;-23,6014;30,086
4,375248;17,3443;-6,0718;-24,3444;30,502
4,379872;16,5463;-6,3754;-24,751;30,447
4,384059;15,5734;-6,8173;-24,5698;29,878
4,388743;14,6284;-7,2725;-23,4284;28,562
4,39363;13,8992;-7,6375;-21,0145;26,327
4,398115;13,2472;-7,6106;-17,6025;23,308
4,402359;12,5652;-7,1549;-13,7378;19,945
4,406992;11,9881;-6,3252;-9,7116;16,674
4,41234;11,5169;-5,1334;-5,9974;13,963
4,416764;11,3252;-3,6769;-2,7919;12,23
4,421426;11,193;-2,2342;-0,0343;11,414
4,427404;11,0558;-0,7379;1,9528;11,251
4,430809;11,2613;0,6285;2,7213;11,602
4,435451;11,5767;1,4653;2,6823;11,973
4,439593;11,9935;1,6677;2,0297;12,278
4,444682;12,1472;1,2577;1,2333;12,274
4,449537;11,6152;0,5792;0,6131;11,646
4,454157;10,452;-0,0253;1,2055;10,521
4,459188;8,7206;-0,4838;3,1389;9,281
4,463799;6,8786;-0,7567;6,6868;9,623
4,468129;5,3433;-0,9474;11,8859;13,066
4,472773;3,8828;-1,1671;17,7425;18,2
4,477933;2,3967;-1,8724;23,2748;23,473
4,482276;1,4024;-3,2994;27,2925;27,527
4,486711;0,0835;-4,945;28,9833;29,402
4,492078;-1,7581;-6,2558;28,2183;28,957
4,496499;-4,3401;-6,8625;26,1963;27,426
4,501104;-7,4346;-6,7525;23,8312;25,861
4,505864;-10,6986;-6,409;21,5805;24,925
4,510411;-13,4575;-6,0711;19,8003;24,698
4,514734;-15,1997;-6,0463;18,6507;24,808
4,519884;-15,3197;-6,2954;18,0245;24,479
4,52468;-14,1728;-6,4708;17,9971;23,804
4,528872;-12,2462;-6,4319;18,0803;22,765
4,533491;-10,2761;-6,2005;18,0973;21,715
4,538184;-8,0196;-6,3478;18,1532;20,836
4,542811;-5,8527;-6,8038;18,5066;20,568
4,547719;-4,3157;-6,9975;18,8903;20,602
4,552211;-3,5769;-6,8359;18,7894;20,312
4,557105;-3,3948;-6,173;18,067;19,392
4,561272;-3,4825;-5,1574;16,314;17,461
4,566405;-3,592;-3,8591;13,4554;14,451
4,570933;-3,4553;-2,4766;9,985;10,852
4,575699;-3,0739;-1,2891;6,3044;7,131
4,580533;-2,6775;-0,3074;2,7186;3,828
4,585134;-2,2453;0,4299;-0,5499;2,351
4,589678;-1,8733;0,8615;-3,7628;4,291
4,594388;-1,6451;0,8979;-6,7094;6,966
4,598826;-1,2562;0,4337;-9,0643;9,161
4,603328;-0,5087;-0,2704;-10,6257;10,641
4,609165;0,3616;-1,1514;-11,6254;11,688
4,613316;1,12;-2,0186;-12,0254;12,245
4,617786;1,6437;-2,7691;-11,7912;12,223
4,622335;1,6811;-3,1863;-10,9779;11,554
4,627382;1,0007;-3,1114;-9,8945;10,42
4,6316;-0,5998;-2,835;-8,4336;8,918
4,635959;-2,6703;-2,4465;-6,7076;7,623
4,641683;-4,5783;-2,2169;-5,0914;7,197
4,645182;-6,2025;-2,1877;-3,5058;7,453
4,650544;-7,4229;-2,2043;-2,0878;8,02
4,655229;-8,1122;-2,2024;-1,0037;8,466
4,660021;-8,3439;-2,2938;0,1681;8,655
4,664346;-8,1476;-2,4218;0,9448;8,552
4,66903;-7,4316;-2,5476;1,3166;7,966
4,67405;-6,5227;-2,4724;1,1678;7,073
4,678717;-5,5295;-2,327;0,5493;6,024
4,683198;-4,8134;-2,0795;-0,2438;5,249
4,688009;-4,2732;-1,943;-0,8259;4,766
4,692508;-3,8442;-1,749;-1,1453;4,376
4,697346;-3,7226;-1,5786;-1,1785;4,212
4,701828;-3,9242;-1,4567;-0,8293;4,267
4,706895;-4,5713;-1,624;-0,5036;4,877
4,711148;-5,9335;-1,8854;-0,2432;6,231
4,715718;-7,6061;-1,984;0,0961;7,861
4,720454;-9,1082;-1,9065;0,5292;9,321
4,727037;-10,3804;-1,95;0,875;10,598
4,729924;-11,4633;-2,167;0,8902;11,7
4,734397;-11,8326;-2,3805;0,9576;12,108
4,738934;-11,3899;-2,4899;1,1873;11,719
4,743816;-10,2225;-2,5435;1,5269;10,644
4,748483;-8,7323;-2,4789;1,7708;9,248
4,75312;-7,1658;-2,3627;1,8951;7,78
4,758322;-5,5913;-2,0599;2,0046;6,287
4,762768;-3,9427;-1,5885;1,7685;4,604
4,767478;-2,4032;-1,0132;1,2861;2,908
4,771844;-1,1364;-0,3744;0,6225;1,349
4,776522;-0,0468;0,2969;-0,0185;0,301
4,781254;0,8164;0,9063;-0,5477;1,337
4,785758;1,4802;1,5112;-0,7459;2,243
4,790338;1,6394;2,144;-0,9093;2,848
4,794857;1,0911;2,7323;-1,2667;3,203
4,799657;0,1563;2,9268;-1,994;3,545
4,805676;-1,1957;2,7432;-3,1145;4,319
4,808932;-2,5048;2,3799;-4,5666;5,726
4,813856;-3,1193;2,2702;-5,9647;7,104
4,818458;-2,8445;2,674;-6,6605;7,72
4,823764;-2,0415;3,2485;-6,9149;7,908
4,827893;-1,1383;3,5223;-6,9597;7,883
4,832276;-0,4047;3,4643;-6,6681;7,525
4,837055;0,0202;3,3114;-6,0907;6,933
4,841995;0,5753;2,7582;-4,6024;5,396
4,8466;1,5398;2,2314;0,3938;2,74
4,851366;2,4399;1,5379;2,242;3,653
4,856051;3,6375;0,2486;5,0786;6,252
4,860756;3,6782;-0,8119;7,6151;8,496
4,865331;3,3794;-1,8002;10,118;10,818
4,8699;3,3481;-2,9019;12,4239;13,19
4,875193;3,5123;-4,2934;15,4591;16,424
4,879517;4,215;-5,8053;17,2652;18,696
4,883751;5,1374;-6,7428;17,4004;19,355
4,88864;4,9845;-6,7374;16,2981;18,327
4,893561;4,0661;-6,3389;14,6634;16,484
4,898033;3,4304;-6,1042;12,4732;14,304
4,902642;3,183;-6,1188;10,0908;12,223
4,907867;2,8452;-6,5917;6,8274;9,908
4,912049;2,9202;-6,9701;4,6763;8,887
4,91672;2,7065;-7,0254;3,3483;8,24
4,921556;2,115;-6,6726;2,4725;7,424
4,926744;1,3912;-6,0419;1,5298;6,386
4,930722;0,8149;-5,3597;0,2264;5,426
4,935511;0,5078;-4,7766;-1,3289;4,984
4,940179;0,3693;-3,9289;-2,3715;4,604
4,944868;0,7492;-3,8346;-3,4183;5,191
4,949443;1,0279;-3,8281;-4,1586;5,745
4,954168;1,2447;-3,785;-4,6693;6,138
4,958928;1,4951;-3,7614;-5,066;6,484
4,963603;1,7653;-3,6836;-5,4748;6,831
4,967769;1,8827;-3,6548;-5,7731;7,087
4,972677;1,771;-3,7023;-6,1683;7,409
4,977874;1,4463;-3,7961;-6,6522;7,794
4,982284;0,9658;-3,816;-7,2779;8,274
4,986861;0,4562;-3,7193;-7,7918;8,646
4,991693;0,021;-3,5163;-8,1167;8,846
4,996474;-0,3565;-3,2228;-8,1751;8,795
5,00077;-0,9141;-2,7492;-7,8996;8,414
5,005563;-1,691;-2,1208;-7,2227;7,715
5,010946;-2,5086;-1,5639;-6,1539;6,827
5,015434;-3,1512;-1,2185;-4,8463;5,908
5,019408;-3,3532;-1,2094;-3,553;5,033
5,028884;-2,9416;-1,4269;-2,3927;4,051
5,029612;-2,0193;-1,7999;-1,3498;3,023
5,033178;-0,7174;-2,2385;-0,3752;2,38
5,037812;0,5215;-2,6437;0,5946;2,759
5,042632;1,6175;-2,9979;1,4601;3,706
5,048132;2,4572;-3,2359;2,1411;4,593
5,052105;3,0391;-3,3686;2,4284;5,146
5,056839;2,9713;-3,7005;3,5861;5,948
5,061533;2,5088;-3,4506;4,5727;6,254
5,06628;3,2463;-3,0935;3,9934;6,005
5,070722;3,4157;-2,6789;4,7566;6,44
5,075971;3,0611;-2,0499;5,6707;6,762
5,080039;3,2198;-1,68;6,1565;7,148
5,084801;3,7241;-1,5629;6,0608;7,283
5,089461;4,0294;-1,5627;5,5602;7,042
5,094167;4,3999;-1,5574;4,7781;6,679
5,098866;5,1862;-1,4972;4,2442;6,867
5,103702;4,5226;-1,6015;4,1778;6,362
5,10944;3,9694;-1,6064;3,7178;5,671
5,113041;3,3936;-1,5112;3,3661;5,013
5,117492;2,6387;-1,2487;3,3092;4,413
5,122423;2,0996;-1,0054;3,4563;4,167
5,126963;1,9521;-0,9491;3,5928;4,198
5,131851;2,6388;-1,0642;3,2649;4,331
5,136344;4,2108;-1,5815;2,3615;5,08
5,143218;5,483;-1,9996;1,5499;6,039
5,146018;5,6251;-1,9233;0,9566;6,021
5,150468;4,8662;-1,346;0,4502;5,069
5,154648;3,748;-0,2566;-0,2672;3,766
5,159508;2,4189;0,9401;-1,1397;2,834
5,164377;0,8662;1,8642;-1,8541;2,768
5,169189;-1,5415;2,4028;-1,9441;3,454
5,173757;-4,7179;2,657;-1,0772;5,521
5,178523;-7,6747;2,7746;0,0956;8,161
5,183193;-9,0958;2,511;1,4078;9,54
5,18773;-8,1469;1,6161;3,7412;9,109
5,192462;-6,3222;0,3307;6,7018;9,219
5,197157;-4,7736;-1,0318;7,1185;8,633
5,202233;-2,2855;-1,3861;12,4558;12,739
5,206768;-0,4648;-0,8775;16,5809;16,611
5,211209;2,0253;0,3513;18,6828;18,796
5,215775;4,1758;1,444;19,4454;19,941
5,220105;4,967;2,109;18,6405;19,406
5,2295;4,6298;2,1984;15,7844;16,596
5,230005;3,5772;1,8729;11,3486;12,046
5,236658;2,5339;1,4328;6,6735;7,281
5,238725;2,0424;1,0377;2,2764;3,23
5,269486;2,118;0,7261;-1,4878;2,688
5,270255;2,4525;0,6159;-4,3977;5,073
5,270556;2,8876;0,7765;-6,5996;7,245
5,270838;3,2946;0,9936;-7,9662;8,678
5,27125;3,426;0,9566;-8,4219;9,142
5,271609;3,2125;0,6746;-8,1202;8,759
5,27198;2,4132;0,2136;-7,6677;8,041
5,276243;1,2861;-0,6755;-7,6802;7,816
5,280919;0,1836;-1,9587;-8,3235;8,553
5,285631;-0,1271;-2,6378;-8,3105;8,72
