time,ax (m/s^2)
1.417828,1.0825
1.421626,0.9732
1.426191,0.7568
1.430577,0.4299
1.43551,0.0132
1.440025,-0.4207
1.444332,-0.6901
1.449478,-0.7915
1.454191,-0.622
1.458778,-0.1314
1.463805,0.5509
1.46824,1.2556
1.472747,1.7802
1.47785,2.1071
1.483408,1.9356
1.48727,2.0292
1.491566,2.0318
1.498528,2.0232
1.502112,1.7383
1.507517,1.2515
1.510221,0.7982
1.514622,0.582
1.519734,0.6575
1.524066,1.015
1.528961,1.6246
1.533495,2.4655
1.538338,3.4598
1.542922,4.315
1.547745,4.8731
1.552172,5.086
1.556807,5.0586
1.561733,4.8141
1.56677,4.2753
1.570938,3.5717
1.575548,2.8574
1.580309,2.1428
1.584985,1.4279
1.589596,0.7834
1.59456,0.1656
1.599355,-0.4985
1.603364,-1.0849
1.608165,-1.5408
1.613399,-1.9329
1.618052,-2.2687
1.622421,-2.6536
1.627172,-3.4831
1.631884,-3.2525
1.636231,-2.6458
1.641255,-2.9547
1.64582,-3.8836
1.650532,-5.1608
1.655857,-6.6308
1.659673,-7.8419
1.664377,-8.8535
1.669199,-9.93
1.673906,-10.3475
1.678166,-9.9573
1.682913,-9.1739
1.687512,-8.4858
1.692449,-8.0247
1.698715,-7.5484
1.701847,-6.8032
1.708643,-6.0508
1.711137,-4.9695
1.715791,-3.9162
1.720257,-2.8955
1.725266,-2.0727
1.730454,-1.4178
1.734574,-0.8923
1.7392,-0.2868
1.7442,0.3968
1.748616,1.2481
1.75308,2.0034
1.757941,2.5853
1.762447,3.1791
1.766762,3.6835
1.772067,3.8246
1.776448,3.8829
1.78131,2.9785
1.786117,2.336
1.790466,2.4444
1.795322,2.8538
1.800079,3.3704
1.809079,3.9979
1.809917,4.6926
1.813969,5.4143
1.81873,6.2854
1.823356,7.2521
1.828467,8.1462
1.83244,8.7048
1.837114,8.6275
1.841957,7.9966
1.846859,7.1426
1.85157,6.2996
1.856221,5.7018
1.861121,5.5405
1.865569,5.2205
1.870181,5.3242
1.874578,6.2629
1.87887,7.0282
1.884199,7.8837
1.88956,8.7689
1.893478,9.3616
1.898119,9.4994
1.902721,9.4708
1.907633,9.3116
1.91194,9.0995
1.917742,8.6215
1.921452,7.9757
1.925731,7.5329
1.930836,7.4814
1.935852,7.7308
1.940188,7.8181
1.944994,7.7672
1.949487,7.72
1.954338,7.5842
1.958883,7.325
1.963747,6.7208
1.968275,5.8844
1.972726,5.8128
1.977808,6.4596
1.982324,7.0571
1.986909,7.3981
1.991567,7.6203
1.996033,7.9044
2.000877,8.3734
2.008854,9.4855
2.010132,11.3907
2.014738,13.2106
2.019482,14.4021
2.024423,14.1326
2.028949,12.5306
2.033563,10.0774
2.038686,7.2419
2.043023,4.349
2.047561,1.7534
2.052211,-0.5833
2.056875,-2.5025
2.061633,-4.1313
2.066129,-5.5316
2.070661,-7.0403
2.075685,-8.8731
2.080422,-10.6514
2.085116,-12.1153
2.089678,-13.0709
2.094402,-13.271
2.099841,-12.779
2.103797,-11.7981
2.108534,-10.8028
2.113619,-10.2374
2.117588,-9.6185
2.122554,-8.994
2.127236,-8.691
2.131771,-8.8464
2.136421,-9.1451
2.141581,-9.6233
2.145884,-10.4427
2.150555,-11.6072
2.155357,-11.5106
2.159739,-11.6637
2.16413,-17.5217
2.16918,-20.3534
2.173723,-21.0181
2.178657,-22.1197
2.183184,-22.6751
2.188221,-21.9908
2.192732,-20.9387
2.199263,-20.0988
2.20205,-19.5115
2.207712,-19.348
2.211343,-19.3083
2.216523,-19.328
2.220619,-19.4008
2.225251,-19.8906
2.230457,-20.6674
2.234565,-20.9569
2.239445,-20.7266
2.243688,-20.365
2.248599,-20.3277
2.253682,-20.3961
2.258213,-20.2468
2.262603,-19.7323
2.267275,-19.2066
2.272327,-18.9368
2.276695,-18.6023
2.280825,-18.1787
2.286086,-17.6822
2.29177,-17.1683
2.29542,-16.2105
2.299697,-14.4584
2.306755,-12.2976
2.309291,-9.9063
2.313909,-7.1121
2.318234,-4.03
2.322851,-1.0032
2.327891,1.5643
2.333536,3.5032
2.337346,5.0792
2.341999,6.9085
2.346921,9.4333
2.3516,12.3597
2.355969,15.4958
2.361092,18.7819
2.366032,21.1392
2.369977,21.563
2.374454,20.6594
2.379423,18.1756
2.384035,15.505
2.389084,12.7833
2.393238,10.225
2.398156,7.9914
2.402841,5.6794
2.408535,3.5314
2.412242,1.9603
2.417993,1.0583
2.421597,0.7577
2.426185,1.2663
2.43052,2.5833
2.435838,4.3754
2.439827,5.9479
2.445137,7.3184
2.449515,8.1555
2.454234,8.612
2.458974,9.2725
2.463796,10.033
2.468181,10.4214
2.472665,9.6703
2.477759,8.3681
2.482461,7.533
2.487002,7.0074
2.491768,6.4653
2.498607,5.9774
2.500983,5.575
2.507486,5.6952
2.510117,6.4711
2.514615,7.7661
2.519954,9.0304
2.524367,10.3051
2.52913,11.833
2.533662,13.6081
2.538609,15.3664
2.54295,16.9931
2.547679,18.4119
2.552285,19.431
2.556837,19.8615
2.561361,20.0709
2.565979,20.4616
2.570837,21.0814
2.575532,21.4704
2.580337,21.6229
2.584723,21.7478
2.589404,21.6397
2.594175,20.7723
2.598394,19.4459
2.603423,18.412
2.60837,17.8469
2.612487,17.684
2.617686,17.5839
2.62217,17.3686
2.62689,17.0781
2.631508,16.4275
2.636017,15.1091
2.640746,13.3509
2.645622,11.0634
2.650305,8.1234
2.655342,4.3026
2.659735,0.1165
2.664347,-3.9841
2.669388,-7.6503
2.674703,-10.7161
2.678094,-13.2344
2.682885,-15.6329
2.688185,-17.3993
2.69258,-18.3743
2.6987,-18.8945
2.701893,-18.9909
2.706322,-18.786
2.710883,-18.6374
2.715612,-18.9324
2.720286,-19.0548
2.725085,-19.507
2.730476,-20.355
2.734608,-20.6078
2.738995,-20.4951
2.743985,-20.7959
2.749428,-21.5188
2.753072,-22.6397
2.757714,-23.8949
2.762706,-24.9162
2.767458,-25.5224
2.772216,-25.5467
2.776488,-25.0513
2.781298,-24.2209
2.786204,-23.1919
2.790421,-21.8995
2.795041,-20.3994
2.799597,-18.9542
2.80605,-18.0049
2.809291,-17.7543
2.813805,-17.8356
2.818705,-17.9573
2.823579,-18.5666
2.828097,-19.6228
2.832501,-21.546
2.837202,-24.3002
2.842027,-27.4316
2.846961,-30.6127
2.851427,-33.0087
2.856047,-33.844
2.860868,-33.3441
2.865707,-32.0846
2.87025,-30.2905
2.874704,-28.4769
2.879199,-26.6491
2.884062,-24.8787
2.888624,-23.4258
2.893349,-21.9821
2.898195,-19.9155
2.90294,-17.7034
2.907529,-15.479
2.912019,-12.4442
2.916468,-8.5027
2.922294,-4.3489
2.926045,0.1526
2.930904,5.2092
2.935691,10.0688
2.940077,13.7578
2.944815,16.6891
2.949531,18.3367
2.954092,19.3296
2.958817,20.2496
2.963618,21.4156
2.96784,20.3265
2.988846,18.7802
2.99008,15.9902
2.990881,12.6136
2.991836,10.176
2.992588,8.9448
2.996047,8.2992
3.000703,8.1493
3.005351,8.5812
3.009943,9.3608
3.014556,10.4453
3.019196,11.7599
3.025337,13.0917
3.02911,14.2407
3.033251,15.1061
3.037978,15.8828
3.044154,16.2347
3.047535,16.0457
3.052075,15.3378
3.057291,13.9203
3.061816,11.8213
3.066121,9.8685
3.070599,8.9337
3.076236,8.69
3.080324,8.2831
3.085038,7.8359
3.09017,7.849
3.094415,8.3281
3.098793,8.9904
3.103662,9.6349
3.108602,10.51
3.112944,11.6777
3.11752,12.9477
3.122338,13.9436
3.126435,14.6109
3.131817,15.1066
3.136466,15.8272
3.141137,16.7046
3.146317,17.5464
3.150381,18.1682
3.154965,18.6117
3.159881,18.4555
3.164567,17.6015
3.169084,16.3139
3.173754,15.1818
3.178738,14.3608
3.183555,13.5995
3.187792,12.8669
3.193604,12.6004
3.197065,13.042
3.202098,13.6075
3.206003,13.8089
3.211481,13.5865
3.215787,12.7554
3.220547,11.0874
3.225839,8.5383
3.230127,5.3608
3.234414,1.9068
3.239266,-1.6677
3.243594,-4.9483
3.248679,-7.7398
3.253131,-9.9954
3.258064,-11.358
3.262629,-12.4676
3.267215,-12.7915
3.271689,-12.7574
3.276675,-11.9405
3.281174,-10.4177
3.285705,-9.1691
3.290831,-8.3844
3.29543,-8.0774
3.299832,-8.2063
3.305982,-8.5932
3.312783,-9.1249
3.314186,-9.8432
3.318401,-10.9676
3.32327,-12.5119
3.327981,-14.1885
3.332594,-15.1598
3.337314,-15.8881
3.342165,-16.1643
3.346649,-15.8782
3.351397,-15.1047
3.355929,-14.5111
3.360749,-14.5301
3.365294,-14.9254
3.370174,-15.3168
3.376255,-15.3488
3.379408,-14.8388
3.38408,-14.078
3.38902,-13.3804
3.393613,-12.7772
3.398497,-12.1895
3.403953,-11.8737
3.407488,-12.465
3.41192,-13.7212
3.416727,-15.2975
3.421359,-16.8753
3.426376,-18.3237
3.430797,-19.576
3.435227,-20.6728
3.440333,-21.7478
3.44462,-22.3543
3.449483,-22.1055
3.454062,-21.603
3.458878,-21.4524
3.463776,-21.3825
3.468078,-21.406
3.472862,-21.4027
3.477744,-21.4071
3.482176,-21.3924
3.486824,-20.9713
3.492437,-19.9768
3.496392,-18.1033
3.500929,-15.68
3.505737,-13.479
3.511508,-11.3919
3.514683,-8.9659
3.519642,-6.0063
3.523613,-2.676
3.528793,0.5965
3.533436,3.624
3.538195,6.5174
3.542832,9.7045
3.547702,12.7721
3.552219,16.4457
3.557424,19.4324
3.565301,20.9494
3.566215,22.4983
3.570821,21.8955
3.575881,20.5452
3.580608,17.7572
3.584966,14.4488
3.589587,11.0143
3.594384,7.9917
3.59902,5.4654
3.603193,3.6117
3.608192,2.7089
3.613471,2.7656
3.617715,3.3374
3.622266,3.7987
3.626913,3.9254
3.631576,3.9095
3.636122,4.0394
3.642195,4.1776
3.645868,4.0859
3.650581,3.9512
3.655042,4.1083
3.659796,4.7629
3.664542,5.7621
3.669109,6.8775
3.674216,7.9179
3.678217,9.0121
3.68284,9.8443
3.687825,10.5141
3.692678,11.5322
3.697513,12.5481
3.701866,13.4173
3.706602,14.1819
3.711531,15.2201
3.715649,16.3132
3.720372,17.2534
3.72529,17.9764
3.729965,18.71
